name,notes
COMPASS_MOT_X,NOT SEEDED - compassmot compensation. Device-ID pinning table exists (ArduCopter/xplorer_compass_mot_pinning.h) but xplorer_compass_mot_boot_align() is CURRENTLY COMMENTED OUT in system.cpp (TEMP-COMPASS-EXPERIMENT) | should make false once we fix this on a lower level
COMPASS_MOT_Y,NOT SEEDED - compassmot compensation. Device-ID pinning table exists (ArduCopter/xplorer_compass_mot_pinning.h) but xplorer_compass_mot_boot_align() is CURRENTLY COMMENTED OUT in system.cpp (TEMP-COMPASS-EXPERIMENT) | should make false once we fix this on a lower level
COMPASS_MOT_Z,NOT SEEDED - compassmot compensation. Device-ID pinning table exists (ArduCopter/xplorer_compass_mot_pinning.h) but xplorer_compass_mot_boot_align() is CURRENTLY COMMENTED OUT in system.cpp (TEMP-COMPASS-EXPERIMENT) | should make false once we fix this on a lower level
COMPASS_ODI2_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_ODI2_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_ODI2_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_ODI3_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_ODI3_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_ODI3_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_ODI_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_ODI_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_ODI_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_OFS2_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_OFS2_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_OFS2_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_OFS3_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_OFS3_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_OFS3_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_OFS_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_OFS_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_OFS_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_SCALE,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_SCALE2,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
COMPASS_SCALE3,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
EK3_ALT_M_NSE,"Baro height measurement noise. Writable (clamped 2-10) rather than read-only because the EKF falls back to baro automatically whenever GPS height is lost - AP_NavEKF3_PosVelFusion.cpp lostGpsHgt - so this governs height fusion on every unit during a GPS dropout, not only when EK3_SRCx_POSZ selects baro. Raising it de-weights a noisy baro (rotor wash, enclosure pressure), which is the direction field fixes have needed. The clamp floor is the seeded default: lowering it below 2 makes the filter over-trust baro and is the divergence case. Only affects fusion when the active height source is baro; with EK3_SRC1_POSZ=3 (GPS) the GPS branch uses receiver vertical accuracy instead."
FENCE_TOTAL,NOT SEEDED - runtime-managed; deliberately omitted from defaults.parm so a fresh board does not inherit stale state
FFT_ENABLE,"Writable so FFT data can be collected during custom integration work. Safe on the control path: INS_HNTCH_MODE is 1 (throttle-based) and read-only, so the FFT analyser only logs and never drives the harmonic notch (that would need mode 4). MANIFEST DEBT: this param carries AP_PARAM_FLAG_ENABLE, so setting it to 1 and rebooting exposes 14 more FFT_ params (MINHZ MAXHZ SAMPLE_MODE WINDOW_SIZE WINDOW_OLAP FREQ_HOVER THR_REF SNR_REF ATT_REF BW_HOVER HMNC_FIT HMNC_PEAK NUM_FRAMES OPTIONS), all writable and unclamped because none are seeded in defaults.parm. They are absent from param_manifest.txt and --check cannot catch it (it only flags defaults.parm entries missing from the manifest, not feature-gated params). Take a param download with FFT_ENABLE=1 and add them. Watch FFT_MAXHZ: exceeding Nyquist blocks arming via AP_GyroFFT pre_arm_check."
FORMAT_VERSION,NOT SEEDED - runtime-managed; deliberately omitted from defaults.parm so a fresh board does not inherit stale state
FS_DR_ENABLE,"Land (1), changed from RTL (2). Deadreckoning propagates position on the EKF wind estimate, but drag fusion is off (EK3_DRAG_BCOEF_X/Y and EK3_DRAG_MCOEF all 0), so there is no wind observation to dead reckon against - the estimate is essentially unconstrained, not merely degraded. RTL would climb to RTL_ALT 50m and transit up to ~240m at WPNAV_SPEED 8m/s on that estimate. Note the action is bounded either way: FS_DR_TIMEOUT 30 gates ekf_has_relative_position (ArduCopter/system.cpp), so after 30s the EKF failsafe fires and FS_EKF_ACTION 1 lands it regardless - the choice is only whether to spend those 30s transiting blind. Landing keeps the aircraft near the operator's visual reference and preserves manual recovery via AltHold. Exposure is high because there is no position redundancy: single Here4 (GPS1_TYPE 9, GPS2_TYPE 0) and EK3_SRC2/3_POSXY are both 0. Fires in Guided, which is where the figure-8 applet flies. Revisit if Xplorer starts operating beyond visual line of sight, where a wrong-but-homeward heading may beat a correct-but-local one."
INS4_ACCOFFS_X,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_ACCOFFS_Y,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_ACCOFFS_Z,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_ACCSCAL_X,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_ACCSCAL_Y,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_ACCSCAL_Z,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_ACC_CALTEMP,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_ACC_ID,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_GYROFFS_X,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_GYROFFS_Y,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_GYROFFS_Z,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_GYR_CALTEMP,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_GYR_ID,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_POS_X,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_POS_Y,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_POS_Z,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_TCAL_ENABLE,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS4_USE,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_ACCOFFS_X,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_ACCOFFS_Y,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_ACCOFFS_Z,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_ACCSCAL_X,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_ACCSCAL_Y,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_ACCSCAL_Z,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_ACC_CALTEMP,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_ACC_ID,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_GYROFFS_X,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_GYROFFS_Y,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_GYROFFS_Z,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_GYR_CALTEMP,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_GYR_ID,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_POS_X,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_POS_Y,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_POS_Z,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_TCAL_ENABLE,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS5_USE,"NOT SEEDED - aux IMU instance slot (hwdef sets INS_AUX_INSTANCES 2, so INS_MAX_INSTANCES=5). Param exists but no 4th/5th IMU is fitted"
INS_ACC1_CALTEMP,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC2OFFS_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC2OFFS_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC2OFFS_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC2SCAL_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC2SCAL_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC2SCAL_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC2_CALTEMP,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC2_ID,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC3OFFS_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC3OFFS_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC3OFFS_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC3SCAL_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC3SCAL_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC3SCAL_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC3_CALTEMP,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC3_ID,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACCOFFS_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACCOFFS_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACCOFFS_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACCSCAL_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACCSCAL_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACCSCAL_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_ACC_ID,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR1_CALTEMP,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR2OFFS_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR2OFFS_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR2OFFS_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR2_CALTEMP,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR2_ID,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR3OFFS_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR3OFFS_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR3OFFS_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR3_CALTEMP,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR3_ID,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYROFFS_X,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYROFFS_Y,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYROFFS_Z,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
INS_GYR_ID,NOT SEEDED - per-unit calibration value; stripped from defaults.parm in 6f1d594 so each airframe keeps its own cal
MIS_TOTAL,NOT SEEDED - runtime-managed; deliberately omitted from defaults.parm so a fresh board does not inherit stale state
PSC_ACCZ_D,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_D_FF,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_FF,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_FLTD,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_FLTE,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_FLTT,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_I,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_IMAX,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
PSC_ACCZ_NEF,"Position/velocity/accel controller gain - deliberately @READONLY in shipping builds. Param review asked whether to open the PSC_ block for loiter tuning; decision is that production stays locked and only dev builds open them. CAVEAT: there is no dev/production build split today - CubeOrangePlus and CubeOrangePlus-ODID are both shipping targets - so 'open for dev' currently means either stripping @READONLY in a local build or adding a dev hwdef variant. Whichever route, it must not reach a customer unit: these are the inner position/velocity/accel loops and a bad gain destabilises Loiter, Auto and Guided, which is where the figure-8 applet flies. Related: PSC_VELZ_IMAX has an entry in param_check_waivers.csv for an upstream @Range annotation bug."
